p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Alicyclobacillaceae	0.949276193779857	0.728165937595687	0.73455408567386	0.999797384021062	0.988260314000875	0.96627033788902
Alteromonadaceae	0.98321520888085	0.629069801203151	0.540316745272634	0.999797384021062	0.988260314000875	0.95423487950643
Amoebophilaceae	0.846999161422348	0.0372689680797113	0.0336159883276241	0.999797384021062	0.561353363554329	0.515445154356903
Anaerohalosphaeraceae	0.787095579518077	0.615868683594678	0.668144170915413	0.999797384021062	0.988260314000875	0.95423487950643
Anaerolineaceae	0.792734267353703	0.973533140726965	0.834294156882854	0.999797384021062	0.999089634071041	0.981730430020556
Anaeromyxobacteraceae	0.854852788937043	0.553244747468275	0.612625110241589	0.999797384021062	0.988260314000875	0.95423487950643
Anaplasmataceae	0.722645853353341	0.205453082863023	0.120918753631711	0.999797384021062	0.822970268489097	0.667471520047047
Aphanizomenonaceae	0.69398115732567	0.184428063642414	0.297579951380901	0.999797384021062	0.801608591579627	0.842380170062859
Aphanothecaceae	0.667015751471619	0.961205460447338	0.782922387278562	0.999797384021062	0.999089634071041	0.967006457902882
Aquificaceae	0.798574061382093	0.238383571908239	0.260495313465126	0.999797384021062	0.837728035119245	0.796559167702576
Archaeoglobaceae	0.842064698423426	0.151981383751644	0.333691271868027	0.999797384021062	0.762670216644611	0.881207280971627
Archangiaceae	0.795002570472259	0.590213240774563	0.583124813884147	0.999797384021062	0.988260314000875	0.95423487950643
Ardenticatenaceae	0.797189931282992	0.729503919187044	0.633606003184137	0.999797384021062	0.988260314000875	0.95423487950643
Arenaviridae	0.378095738637907	0.183539347831058	0.112605884134698	0.999797384021062	0.801608591579627	0.647483833774512
Aspergillaceae	0.346287846688173	0.95065128210492	0.969793651621242	0.999797384021062	0.999089634071041	0.987374507654033
Aspiviridae	0.601062138081415	0.913091598224445	0.890199718525799	0.999797384021062	0.997998585699999	0.985785588731941
Atopobiaceae	0.683249324776193	0.182423925181141	0.262131627141481	0.999797384021062	0.801608591579627	0.796559167702576
Aurantimonadaceae	0.682390162369727	0.36388620007236	0.377273419582724	0.999797384021062	0.931105831798964	0.911353514759385
Azonexaceae	0.992694682500068	0.925707122357911	0.804553231527482	0.999797384021062	0.997998585699999	0.978815629394601
Bacillaceae	0.954394671090136	0.304691203760996	0.245781624061246	0.999797384021062	0.898778682283044	0.796559167702576
Bacteriovoracaceae	0.445610759053254	0.227365459373676	0.142998974286353	0.999797384021062	0.82488173721059	0.680484216779742
Bacteroidaceae	0.000880900590390261	0.00562988195814636	0.00289233859154156	0.188732854115647	0.240552391048974	0.134459201211966
Baekduiaceae	0.725641980603954	0.999965080412898	0.785554787561219	0.999797384021062	0.999965080412898	0.967006457902882
Barnesiellaceae	0.043840754035638	0.0074245072157723	0.0029230261133036	0.999797384021062	0.246273643249519	0.134459201211966
Bartonellaceae	0.559741240631548	0.162214776296054	0.106392881455332	0.999797384021062	0.792412004561253	0.645089032663942
Bdellovibrionaceae	0.633172182402862	0.677040141025556	0.375111457127405	0.999797384021062	0.988260314000875	0.911353514759385
Beijerinckiaceae	0.659864893759986	0.588442170843176	0.691894900056703	0.999797384021062	0.988260314000875	0.95423487950643
Bernardetiaceae	0.985263515629817	0.196161018066463	0.158868024270179	0.999797384021062	0.821677358672233	0.684549307288663
Beutenbergiaceae	0.766568357365908	0.933818370343313	0.691596984900466	0.999797384021062	0.999056570434183	0.95423487950643
Bifidobacteriaceae	0.999601130150603	0.00270268176960027	0.0171745774975932	0.999797384021062	0.192384247875292	0.379214671146858
Blattabacteriaceae	0.603267468376518	0.540746084201488	0.368819767430794	0.999797384021062	0.988260314000875	0.911353514759385
Bogoriellaceae	0.877577798093638	0.416685862832639	0.384829405917599	0.999797384021062	0.948671822253351	0.915628586493598
Borreliaceae	0.941541270094077	0.683564303033456	0.688544615057764	0.999797384021062	0.988260314000875	0.95423487950643
Brachyspiraceae	0.53275464699892	0.239784473820364	0.200316857822485	0.999797384021062	0.837728035119245	0.759645610057288
Bradymonadaceae	0.476748022177576	0.912657671330803	0.644385609298457	0.999797384021062	0.997998585699999	0.95423487950643
Bradyrhizobiaceae	0.901937641592018	0.79974933872195	0.822401172851855	0.999797384021062	0.988260314000875	0.978815629394601
