p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Blattabacteriaceae	0.944666435865944	0.679005361048741	0.622095342209287	0.969248833825281	0.979955393098293	0.963434046320619
Bogoriellaceae	0.131327154457759	0.477233020584886	0.395456466426152	0.496524583977282	0.979955393098293	0.963434046320619
Borreliaceae	0.238865466994692	0.917152589281534	0.955270074235425	0.568335076642542	0.98301934827102	0.977689272664857
Brachyspiraceae	0.563533087623287	0.682667157360158	0.718349960942777	0.795576123703465	0.979955393098293	0.963434046320619
Bradymonadaceae	0.0273263122194423	0.690846388461398	0.84297967748553	0.484625290215917	0.979955393098293	0.967003044116695
Bradyrhizobiaceae	0.111897290962244	0.719544103926711	0.614550374081807	0.484625290215917	0.979955393098293	0.963434046320619
Brevibacteriaceae	0.0829066872541213	0.580484215508783	0.482657581038301	0.484625290215917	0.979955393098293	0.963434046320619
Brucellaceae	0.245736380263548	0.561235134158938	0.485785850016381	0.577219071938207	0.979955393098293	0.963434046320619
Budviciaceae	0.15502281068992	0.409864108049168	0.539240464309011	0.498006384805033	0.979955393098293	0.963434046320619
Burkholderiaceae	0.15949468908316	0.629141025049684	0.524582651654746	0.498006384805033	0.979955393098293	0.963434046320619
Caedimonadaceae	0.400701284157568	0.129934719697451	0.133914731996712	0.693376516786764	0.979955393098293	0.963434046320619
Caldilineaceae	0.185957812151181	0.433466759133037	0.348546297479732	0.510067194613286	0.979955393098293	0.963434046320619
Caldisphaeraceae	0.358485653565796	0.784787232508779	0.704475118140288	0.651220024688043	0.979955393098293	0.963434046320619
Calditrichaceae	0.188561086788907	0.601316785768147	0.565280943659993	0.510067194613286	0.979955393098293	0.963434046320619
Calotrichaceae	0.795194157086323	0.39837843644391	0.382237747183333	0.906915650230682	0.979955393098293	0.963434046320619
Campylobacteraceae	0.600768201546662	0.846279394857839	0.878255478666	0.818824808033969	0.979955393098293	0.967003044116695
Candidatus Brocadiaceae	0.936883662997707	0.0789981222790589	0.0760883567633088	0.969179504422911	0.979955393098293	0.963434046320619
Candidatus Deianiraeaceae	0.509680977960723	0.669290899193088	0.877370090917161	0.7706013899353	0.979955393098293	0.967003044116695
Candidatus Methanomethylophilaceae	0.0718910106084379	0.157089783377731	0.114860172713998	0.484625290215917	0.979955393098293	0.963434046320619
Candidatus Midichloriaceae	0.313865896678784	0.963460427249357	0.951607849113592	0.623674545611268	0.986615422450293	0.977689272664857
Candidatus Nanopelagicaceae	0.30969849399948	0.777142937131315	0.732378754814976	0.621649340682593	0.979955393098293	0.963434046320619
Candidatus Nitrosocaldaceae	0.32551626218525	0.350602737270943	0.341091499738136	0.626080058279644	0.979955393098293	0.963434046320619
Candidatus Paracaedibacteraceae	0.739100471827076	0.400252993146173	0.371138369987969	0.883081083221961	0.979955393098293	0.963434046320619
