p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Carnobacteriaceae	0.554819874910765	0.998076757308156	0.876088074296412	0.957001183274319	0.999368595174174	0.984736582822045
Casimicrobiaceae	0.247860341047043	0.8010606444859	0.876570715872318	0.957001183274319	0.999105814964353	0.984736582822045
Catenulisporaceae	0.436079597487045	0.264220728092273	0.151711870252391	0.957001183274319	0.999105814964353	0.953731006304196
Caulobacteraceae	0.418910971322013	0.536888360940448	0.265045419793478	0.957001183274319	0.999105814964353	0.953731006304196
Cellulomonadaceae	0.468520164014787	0.124036997715323	0.11148451168231	0.957001183274319	0.999105814964353	0.953731006304196
Cellvibrionaceae	0.435260652344688	0.68828882265588	0.936968324797625	0.957001183274319	0.999105814964353	0.995730500658291
Chaetomiaceae	0.66948931666215	0.637394896410752	0.419087562475916	0.957001183274319	0.999105814964353	0.953731006304196
Chamaesiphonaceae	0.212449856162314	0.937792291200089	0.6829972543362	0.957001183274319	0.999105814964353	0.976622372308278
Chelatococcaceae	0.454533990946189	0.130113861828543	0.082274127244658	0.957001183274319	0.999105814964353	0.953731006304196
Chitinophagaceae	0.787596102136296	0.64460613250851	0.504732137707382	0.969894984554041	0.999105814964353	0.956556745965558
Chlamydiaceae	0.526375325556512	0.0141362199888105	0.0393148043243788	0.957001183274319	0.999105814964353	0.953731006304196
Chlorobiaceae	0.816029383619571	0.714382071295126	0.389395461772304	0.970793577064662	0.999105814964353	0.953731006304196
Chloroflexaceae	0.42650070928083	0.859224754864784	0.503683266410608	0.957001183274319	0.999105814964353	0.956556745965558
Christensenellaceae	0.502877816523761	0.672879122439632	0.781532426239583	0.957001183274319	0.999105814964353	0.984736582822045
Chromatiaceae	0.436512945934948	0.421656768770498	0.248295837733883	0.957001183274319	0.999105814964353	0.953731006304196
Chromobacteriaceae	0.439733334067771	0.385039330460693	0.276888800199777	0.957001183274319	0.999105814964353	0.953731006304196
Chroococcaceae	0.80331589447006	0.888497567131504	0.755113815741818	0.969894984554041	0.999105814964353	0.983425511669294
Chroococcidiopsidaceae	0.572440416299024	0.527768801447475	0.551177425607836	0.957001183274319	0.999105814964353	0.974261642609436
Chrysiogenaceae	0.343165545393603	0.0459193901792587	0.163571966241026	0.957001183274319	0.999105814964353	0.953731006304196
Chthonomonadaceae	0.949880885529566	0.455622258439105	0.123968629545667	0.992814920175161	0.999105814964353	0.953731006304196
Clavicipitaceae	0.36465789196722	0.226286588040002	0.0875736276439522	0.957001183274319	0.999105814964353	0.953731006304196
Clostridiaceae	0.154978406192323	0.53407394600294	0.975861444955092	0.957001183274319	0.999105814964353	0.999531552512805
Clostridiales Family XIII. Incertae Sedis	0.590016400527394	0.634851089846307	0.938006993373753	0.957001183274319	0.999105814964353	0.995730500658291
Clostridiales Family XVI. Incertae Sedis	0.782994624862418	0.856012378902678	0.54718924774524	0.969894984554041	0.999105814964353	0.974261642609436
Clostridiales Family XVII. Incertae Sedis	0.773727119580209	0.440073040054148	0.428647049405849	0.969894984554041	0.999105814964353	0.953731006304196
Cohaesibacteraceae	0.482276788631113	0.667151246749535	0.557868519004051	0.957001183274319	0.999105814964353	0.974261642609436
Coleofasciculaceae	0.399773113379792	0.917771157780815	0.222587600616377	0.957001183274319	0.999105814964353	0.953731006304196
Colwelliaceae	0.936347704887893	0.888663290406063	0.505490854767168	0.990224227817777	0.999105814964353	0.956556745965558
Comamonadaceae	0.483604509031248	0.300327310888121	0.198130745843535	0.957001183274319	0.999105814964353	0.953731006304196
Conexibacteraceae	0.741737194563324	0.37599817830368	0.201348634388761	0.969894984554041	0.999105814964353	0.953731006304196
Coprothermobacteraceae	0.205960233053763	0.934665106693715	0.975097259787595	0.957001183274319	0.999105814964353	0.999531552512805
Coriobacteriaceae	0.670594671669718	0.969832902408531	0.576557175269287	0.957001183274319	0.999105814964353	0.974261642609436
Corynebacteriaceae	0.703456545185598	0.352293033227806	0.143050640626616	0.957001183274319	0.999105814964353	0.953731006304196
Coxiellaceae	0.445303162142961	0.295122447943426	0.609750618596657	0.957001183274319	0.999105814964353	0.974261642609436
Crocinitomicaceae	0.150587991371536	0.355435179460273	0.277319050522538	0.957001183274319	0.999105814964353	0.953731006304196
Cryomorphaceae	0.933216083391369	0.923200756289014	0.839883466083451	0.990224227817777	0.999105814964353	0.984736582822045
Cryptococcaceae	0.221543112361494	0.750161794584216	0.794475766316569	0.957001183274319	0.999105814964353	0.984736582822045
Cuniculiplasmataceae	0.295891987495901	0.485296271912999	0.901581428567299	0.957001183274319	0.999105814964353	0.984736582822045
Cyanobacteriaceae	0.256317263601204	0.510004502900521	0.489611896917383	0.957001183274319	0.999105814964353	0.956556745965558
Cyanothecaceae	0.987185934750902	0.411625931044876	0.133951756476055	0.992814920175161	0.999105814964353	0.953731006304196
