p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Anaerohalosphaeraceae	0.813285210078629	0.3472975504762	0.640190984900139	0.946162383537294	0.680177762983802	0.981228503400236
Anaerolineaceae	0.0567865309565319	0.0992916733737737	0.276525234726444	0.555675635295672	0.642928444923854	0.981228503400236
Anaeromyxobacteraceae	0.207919321449013	0.0960262174685971	0.206279813703287	0.582596271268302	0.642928444923854	0.981228503400236
Anaplasmataceae	0.688837254674048	0.634360046253315	0.846958596259963	0.913711174805111	0.892477496580504	0.983592979190845
Aphanizomenonaceae	0.854814192340035	0.920652030152363	0.906427445449021	0.954749179113032	0.978862728808264	0.995122447934649
Aphanothecaceae	0.872568898196157	0.986912433093294	0.981508488314459	0.959504225013214	0.992305397208558	0.995122447934649
Aquificaceae	0.531559835999868	0.767739497902934	0.640271368169242	0.834578239043456	0.925876265839745	0.981228503400236
Archaeoglobaceae	0.546197782988184	0.713518420333284	0.896871096747449	0.837435005010247	0.913550697985918	0.995122447934649
Archangiaceae	0.18300945359095	0.158852093165063	0.313764216881558	0.563377282357613	0.642928444923854	0.981228503400236
Ardenticatenaceae	0.16543137800631	0.119367028900837	0.228550939559891	0.556466981538563	0.642928444923854	0.981228503400236
Arenaviridae	0.0592658040697816	0.0818246734407677	0.185943219447902	0.555675635295672	0.642928444923854	0.981228503400236
Aspergillaceae	0.0827532862381214	0.169303342711112	0.166226318062051	0.555675635295672	0.642928444923854	0.981228503400236
Aspiviridae	0.0381231987775825	0.478508624237573	0.490604857343429	0.555675635295672	0.797996255526103	0.981228503400236
Atopobiaceae	0.270269281901225	0.0820304233972995	0.254806662372544	0.637558306023404	0.642928444923854	0.981228503400236
Aurantimonadaceae	0.0883777840318241	0.113504769856207	0.276852845186422	0.555675635295672	0.642928444923854	0.981228503400236
Azonexaceae	0.571546354390084	0.167883748877215	0.42615296224662	0.839412400564549	0.642928444923854	0.981228503400236
Bacillaceae	0.902285818629375	0.804820148915552	0.967638992272428	0.959656593224306	0.930606910877023	0.995122447934649
Bacteriovoracaceae	0.783497372454618	0.770511630689313	0.975557428497279	0.946162383537294	0.925876265839745	0.995122447934649
Bacteroidaceae	0.0206823739747959	0.42328945936231	0.531232417566171	0.555675635295672	0.748537708861433	0.981228503400236
Baekduiaceae	0.0482897190069106	0.0486737780968779	0.117656267984579	0.555675635295672	0.642928444923854	0.981228503400236
Barnesiellaceae	0.147946022157093	0.203454006401989	0.672669706172357	0.555675635295672	0.642928444923854	0.981228503400236
Bartonellaceae	0.887246663362749	0.659365717158922	0.643388623851701	0.959656593224306	0.896162331944677	0.981228503400236
Bdellovibrionaceae	0.267506205037924	0.246302134081003	0.297915048801186	0.636480280952301	0.659252614125743	0.981228503400236
Beijerinckiaceae	0.482314004942988	0.154118024864336	0.447622982152785	0.799989487210448	0.642928444923854	0.981228503400236
Bernardetiaceae	0.23462110686687	0.437978047585821	0.845303097154203	0.602376051118662	0.763776072130677	0.983592979190845
Beutenbergiaceae	0.117840784764221	0.103157790951978	0.277111692551645	0.555675635295672	0.642928444923854	0.981228503400236
Bifidobacteriaceae	0.0404624482492972	0.584844191845027	0.517366132481139	0.555675635295672	0.866889761793114	0.981228503400236
Blattabacteriaceae	0.739569388608216	0.566529846132766	0.683899219908047	0.933562710031397	0.865754657267063	0.981228503400236
Bogoriellaceae	0.145776055836209	0.14194558411095	0.343588089239073	0.555675635295672	0.642928444923854	0.981228503400236
Borreliaceae	0.982738016764635	0.502513205945273	0.86184479030491	0.98631160955287	0.805072566044343	0.983592979190845
Brachyspiraceae	0.569396604154443	0.395972036049085	0.738352307325544	0.839412400564549	0.731025297321387	0.983061367593258
Bradymonadaceae	0.0313355843129225	0.153565889971431	0.235210945073361	0.555675635295672	0.642928444923854	0.981228503400236
Bradyrhizobiaceae	0.102756228532556	0.218826397973068	0.429575189648148	0.555675635295672	0.652930657735857	0.981228503400236
Brevibacteriaceae	0.155278494745197	0.190300424531882	0.3570369979491	0.556466981538563	0.642928444923854	0.981228503400236
Brucellaceae	0.367307279120965	0.319894713770496	0.587941958196556	0.731962520125533	0.671414000004996	0.981228503400236
Budviciaceae	0.194353454646294	0.156721995654158	0.648220953865609	0.582596271268302	0.642928444923854	0.981228503400236
Burkholderiaceae	0.175414941988091	0.163395754639572	0.450841963948526	0.558116315078978	0.642928444923854	0.981228503400236
Caedimonadaceae	0.939025757589198	0.527034320674492	0.655364904309275	0.974327477799318	0.833590100321833	0.981228503400236
Caldilineaceae	0.449601108686153	0.286621042289219	0.753305923244223	0.79013149706647	0.663157768054269	0.983061367593258
Caldisphaeraceae	0.279355461985152	0.191371108168005	0.317311427778411	0.642503191444039	0.642928444923854	0.981228503400236
Calditrichaceae	0.225819040937362	0.480332878746955	0.249240756917566	0.602376051118662	0.798625750205781	0.981228503400236
Calotrichaceae	0.945559166292169	0.834594250826277	0.976122469571733	0.976508917966331	0.936049530426942	0.995122447934649
Campylobacteraceae	0.796558625596245	0.868261757594117	0.91723412667752	0.946162383537294	0.946282214240443	0.995122447934649
Candidatus Brocadiaceae	0.950610341794549	0.906892295025368	0.828321281825946	0.97861778156737	0.970163850492254	0.983061367593258
Candidatus Deianiraeaceae	0.750096290976133	0.0895661472351503	0.828860452593472	0.937204657506163	0.642928444923854	0.983061367593258
Candidatus Methanomethylophilaceae	0.0921106721401808	0.141455845877559	0.254607686099589	0.555675635295672	0.642928444923854	0.981228503400236
Candidatus Midichloriaceae	0.742452952361926	0.75244550277345	0.681467737517317	0.933562710031397	0.925876265839745	0.981228503400236
Candidatus Nanopelagicaceae	0.717912169706945	0.316711425160693	0.297290009811556	0.928073811892819	0.671414000004996	0.981228503400236
Candidatus Nitrosocaldaceae	0.575031179835429	0.12656944481464	0.457473832746917	0.839412400564549	0.642928444923854	0.981228503400236
Candidatus Paracaedibacteraceae	0.47812524312085	0.580945247030989	0.556422295813562	0.799989487210448	0.866889761793114	0.981228503400236
Cardiobacteriaceae	0.133879970154409	0.183597984681391	0.66648093468536	0.555675635295672	0.642928444923854	0.981228503400236
Carnobacteriaceae	0.575059063002223	0.965342196125853	0.629687860049606	0.839412400564549	0.985995327979276	0.981228503400236
Casimicrobiaceae	0.0282614870711102	0.0746174319593369	0.289548479204589	0.555675635295672	0.642928444923854	0.981228503400236
Catenulisporaceae	0.0576341613848968	0.0241744463076721	0.14951365642467	0.555675635295672	0.642928444923854	0.981228503400236
Caulobacteraceae	0.0625377277557494	0.0824032905967299	0.223337206669276	0.555675635295672	0.642928444923854	0.981228503400236
Cellulomonadaceae	0.261292192669491	0.212589669189876	0.330152816854073	0.636480280952301	0.64477745820226	0.981228503400236
Cellvibrionaceae	0.570795595104136	0.675507757598041	0.764978319391888	0.839412400564549	0.902857826135881	0.983061367593258
Chaetomiaceae	0.151590760754523	0.199263845082736	0.503354753137113	0.556466981538563	0.642928444923854	0.981228503400236
Chamaesiphonaceae	0.629152100714761	0.831688772368275	0.659202608108985	0.875699427549141	0.935954227826819	0.981228503400236
Chelatococcaceae	0.0229908611568704	0.238357960095885	0.470749920879706	0.555675635295672	0.659252614125743	0.981228503400236
Chitinophagaceae	0.851734367598475	0.808403132117944	0.944897633824932	0.953906302401895	0.930606910877023	0.995122447934649
Chlamydiaceae	0.262853925765961	0.382394324522619	0.463474628859987	0.636480280952301	0.715531075038934	0.981228503400236
Chlorobiaceae	0.275544355012816	0.469553421525627	0.835215083337924	0.641137202858737	0.790224050860202	0.983061367593258
Chloroflexaceae	0.407272861679253	0.643947446665486	0.627312264341258	0.759703309170064	0.892477496580504	0.981228503400236
Christensenellaceae	0.845839987835389	0.814281047017395	0.27715610515856	0.953906302401895	0.930606910877023	0.981228503400236
Chromatiaceae	0.288482278298001	0.351416922096204	0.487477754878304	0.647326087888197	0.683035707736284	0.981228503400236
Chromobacteriaceae	0.159758238672021	0.207969034683902	0.505073525415073	0.556466981538563	0.642928444923854	0.981228503400236
Chroococcaceae	0.246799707329379	0.799472616294805	0.371648490881473	0.620926471654268	0.930606910877023	0.981228503400236
Chroococcidiopsidaceae	0.966539599149873	0.828596954814474	0.684394192801275	0.98075341678443	0.935954227826819	0.981228503400236
Chrysiogenaceae	0.315936495216044	0.139036103203368	0.289284772082349	0.668187530112093	0.642928444923854	0.981228503400236
Chthonomonadaceae	0.214147865698489	0.360726060095811	0.539208893195802	0.594018200329476	0.688999256653591	0.981228503400236
Clavicipitaceae	0.293129223422732	0.588296677538626	0.707844786128392	0.649633361172958	0.866889761793114	0.982489681381512
Clostridiaceae	0.46520423287428	0.547035730180293	0.735386642489795	0.79013149706647	0.850602036787385	0.983061367593258
Clostridiales Family XIII. Incertae Sedis	0.703942696991054	0.988852900134627	0.980449051743614	0.917590382134947	0.992448728862389	0.995122447934649
Clostridiales Family XVI. Incertae Sedis	0.381223946240494	0.307651355304032	0.372411337897474	0.733262523241849	0.670856184548289	0.981228503400236
Clostridiales Family XVII. Incertae Sedis	0.0472700487544269	0.0338526524338825	0.0883210848948219	0.555675635295672	0.642928444923854	0.981228503400236
Cohaesibacteraceae	0.0781794090389735	0.356656000667981	0.446626179846832	0.555675635295672	0.6859725169642	0.981228503400236
Coleofasciculaceae	0.0353632229706807	0.0172993090775984	0.148423366890405	0.555675635295672	0.642928444923854	0.981228503400236
Colwelliaceae	0.781758254079964	0.688730383192538	0.677774661072382	0.946162383537294	0.911274218772337	0.981228503400236
Comamonadaceae	0.0552911724293787	0.126572809982332	0.220759005216046	0.555675635295672	0.642928444923854	0.981228503400236
Conexibacteraceae	0.127487595813125	0.275658265129741	0.708462573642758	0.555675635295672	0.660112368731179	0.982489681381512
