p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Arenaviridae	0.017214851780943	0.085130458346357	0.0786532409238286	0.447563855140652	0.979118303579392	0.999579445565385
Aspergillaceae	0.0151806301148623	0.269287467539828	0.347563739194728	0.447563855140652	0.979118303579392	0.999579445565385
Aspiviridae	0.267929490346466	0.42212885889343	0.405688273875732	0.56234776857112	0.979118303579392	0.999579445565385
Atopobiaceae	0.593608283277937	0.163397781784208	0.614029873434576	0.773790370994064	0.979118303579392	0.999579445565385
Aurantimonadaceae	0.0517182278188313	0.235672420682906	0.551836858573725	0.447563855140652	0.979118303579392	0.999579445565385
Azonexaceae	0.832929468155326	0.238439131334087	0.793405703367869	0.911549789570077	0.979118303579392	0.999579445565385
Bacillaceae	0.640922603507046	0.905626707338969	0.967406640499162	0.802243258811541	0.979253267064598	0.999579445565385
Bacteriovoracaceae	0.5541057087771	0.373243543277426	0.595463684205991	0.750265537064792	0.979118303579392	0.999579445565385
Bacteroidaceae	0.196134524120715	0.443500567792781	0.95896822443674	0.520510852474206	0.979118303579392	0.999579445565385
Baekduiaceae	0.0489011803071561	0.380899806070242	0.629244743901902	0.447563855140652	0.979118303579392	0.999579445565385
Barnesiellaceae	0.332108215416122	0.296275021753598	0.827003757877947	0.617251632692591	0.979118303579392	0.999579445565385
Bartonellaceae	0.615092196084729	0.859553135270289	0.90554744959472	0.789480322412487	0.979118303579392	0.999579445565385
Bdellovibrionaceae	0.153068276388433	0.259259590448664	0.509154783612746	0.4665750824662	0.979118303579392	0.999579445565385
Beijerinckiaceae	0.103479747404769	0.29920821959078	0.904355150911346	0.447563855140652	0.979118303579392	0.999579445565385
Bernardetiaceae	0.894858642007574	0.749605402447678	0.684833140817204	0.948103589996508	0.979118303579392	0.999579445565385
Beutenbergiaceae	0.114700186771512	0.312150258365385	0.934400227704304	0.447563855140652	0.979118303579392	0.999579445565385
Bifidobacteriaceae	0.037706380585235	0.877504133692874	0.570941567569819	0.447563855140652	0.979118303579392	0.999579445565385
Blattabacteriaceae	0.570492593189224	0.888431668211062	0.664271482010154	0.755196926358496	0.979118303579392	0.999579445565385
Bogoriellaceae	0.139937058528074	0.51694625199888	0.934075210300636	0.457519889820155	0.979118303579392	0.999579445565385
Borreliaceae	0.397480646804941	0.846260690815032	0.41142873136869	0.665357500948542	0.979118303579392	0.999579445565385
Brachyspiraceae	0.972752364294089	0.470028604791172	0.883701908358533	0.990525660808144	0.979118303579392	0.999579445565385
Bradymonadaceae	0.224165800321696	0.770221993855323	0.887054301140683	0.537574181015268	0.979118303579392	0.999579445565385
Bradyrhizobiaceae	0.101558524476509	0.606295490853586	0.926994735781468	0.447563855140652	0.979118303579392	0.999579445565385
Brevibacteriaceae	0.177144490774681	0.89397758152901	0.872790391936122	0.492171519798594	0.979118303579392	0.999579445565385
Brucellaceae	0.199304335645586	0.764025165796582	0.892301370425838	0.526392312327097	0.979118303579392	0.999579445565385
