p-variable	p-treatment	p-interaction	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Aphanothecaceae	0.353051354699719	0.20854745431666	0.237434931550999	0.976817676561108	0.990824850108649	0.994625559147417
Aquificaceae	0.454751346269104	0.541233668114696	0.547055898857099	0.976817676561108	0.990824850108649	0.994625559147417
Archaeoglobaceae	0.151973394884273	0.824205926234694	0.832406289566121	0.976817676561108	0.990824850108649	0.994625559147417
Archangiaceae	0.57199210801737	0.648894678771226	0.630171591233411	0.976817676561108	0.990824850108649	0.994625559147417
Ardenticatenaceae	0.195935531107672	0.514831306887503	0.464805550813193	0.976817676561108	0.990824850108649	0.994625559147417
Arenaviridae	0.441231861712046	0.431611538566252	0.471363065769562	0.976817676561108	0.990824850108649	0.994625559147417
Aspergillaceae	0.945640466528342	0.327403529923956	0.329244247950514	0.982741367001135	0.990824850108649	0.994625559147417
Aspiviridae	0.44221784309073	0.820241142570144	0.860378373950218	0.976817676561108	0.990824850108649	0.994625559147417
Atopobiaceae	0.882026108333698	0.837405506007187	0.869832137345434	0.976817676561108	0.990824850108649	0.994625559147417
Aurantimonadaceae	0.714729744837873	0.184485806548519	0.18695642828364	0.976817676561108	0.990824850108649	0.994625559147417
Azonexaceae	0.814602226591161	0.911303895927963	0.927956816958188	0.976817676561108	0.993622242825575	0.994625559147417
Bacillaceae	0.423481539856164	0.371104619847132	0.394013432900402	0.976817676561108	0.990824850108649	0.994625559147417
Bacteriovoracaceae	0.405140614331589	0.983258300975593	0.985901881114632	0.976817676561108	0.993817700322839	0.996735967720287
Bacteroidaceae	0.67775124916031	0.792430700863853	0.785487418059869	0.976817676561108	0.990824850108649	0.994625559147417
Baekduiaceae	0.450202261418038	0.31700064928754	0.364024559264458	0.976817676561108	0.990824850108649	0.994625559147417
Barnesiellaceae	0.427314135482799	0.872092224025873	0.857113236474395	0.976817676561108	0.993622242825575	0.994625559147417
Bartonellaceae	0.217982482084437	0.294364485315527	0.328808647354704	0.976817676561108	0.990824850108649	0.994625559147417
Bdellovibrionaceae	0.403014331542203	0.158033390733357	0.187828491175294	0.976817676561108	0.990824850108649	0.994625559147417
Beijerinckiaceae	0.840652308024059	0.901921702501168	0.923222864074318	0.976817676561108	0.993622242825575	0.994625559147417
Bernardetiaceae	0.22141275658453	0.644737395676646	0.687750556431035	0.976817676561108	0.990824850108649	0.994625559147417
Beutenbergiaceae	0.644192535484995	0.526620488209506	0.550990475074223	0.976817676561108	0.990824850108649	0.994625559147417
