Taxa	t.HC.T1.All	p.vals.HC.T1.All	adj.p.vals.HC.T1.All	t.HC.T2.All	p.vals.HC.T2.All	adj.p.vals.HC.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.HC.T1.UNC	p.vals.HC.T1.UNC	adj.p.vals.HC.T1.UNC	t.HC.T2.UNC	p.vals.HC.T2.UNC	adj.p.vals.HC.T2.UNC	t.T1.T2.UNC	p.vals.T1.T2.UNC	adj.p.vals.T1.T2.UNC	t.HC.T1.Denver	p.vals.HC.T1.Denver	adj.p.vals.HC.T1.Denver	t.HC.T2.Denver	p.vals.HC.T2.Denver	adj.p.vals.HC.T2.Denver	t.T1.T2.Denver	p.vals.T1.T2.Denver	adj.p.vals.T1.T2.Denver
Gemmata	0.341225577635852	0.733402619945104	0.796115246063125	0.576473929351599	0.565289568184533	0.637772423263825	-0.376567574749302	0.707544280195404	0.901957730289048	-0.992272299434791	0.324807426498421	0.982765380621359	-0.0132962843655406	0.989445863326308	0.99948514800516	0.474127817875205	0.638628085283163	0.999702432312913	2.03327988002488	0.0454340770355945	0.0686880637365398	1.80256221662182	0.0759269289675588	0.109701548977455	-0.680169248172031	0.500043180753119	0.822524045096377
Gemmatimonas	2.60868565557653	0.00989997644139151	0.0407516356981042	1.89964158805154	0.0596458573303629	0.127642055407161	-1.00781632757452	0.316740627544206	0.756449580313764	0.557668943825713	0.578914066522171	0.983253893618217	0.563450957101775	0.575707029231741	0.929300656992424	-0.204267870272051	0.839437798187823	0.999702432312913	3.52627778017084	0.000699977861559473	0.00493476374041227	2.69403709039444	0.00878439253944662	0.0260400085438498	-1.03900709412744	0.304608756634692	0.786350468226953
Gemmatirosa	2.51282381537531	0.0129286252788525	0.0489756351679538	1.75304957686854	0.0817675211588922	0.154874017867013	-1.30767720864368	0.194924776790041	0.756449580313764	0.499197726920882	0.619194930488291	0.983253893618217	0.534108060367808	0.595607692782961	0.929300656992424	-0.214704016990203	0.831360511402785	0.999702432312913	3.35175194193912	0.00121884761400386	0.00621233772340954	2.56348623239514	0.012455326577723	0.0311418375466654	-1.36525456514137	0.179273543630194	0.786350468226953
Gemmobacter	3.94865109233027	0.000120903458592557	0.0029812685267625	4.18043222673107	4.91556478976403e-05	0.00173927324369736	-1.00836478801538	0.316479074566664	0.756449580313764	1.57716609931627	0.119535089434408	0.835238881216051	2.33557279770921	0.0233673966158313	0.658643738510634	0.652172525908761	0.518947377306452	0.999702432312913	3.9809872738562	0.000147982756268206	0.0030507112041134	3.82473950770077	0.00028787533495201	0.00550272048304819	-1.56192070149687	0.12563722045955	0.786350468226953
Geoalkalibacter	1.84389059207347	0.0669279557163723	0.138606712772512	0.855630775468177	0.393584872680207	0.483731818125428	-1.74740501901462	0.0846063542086922	0.756449580313764	-0.287668882929114	0.774396049137912	0.984128204644693	-0.124021531485748	0.901779773573053	0.98563306223832	-0.508771538612601	0.614402517994833	0.999702432312913	3.03508426584831	0.00322275295916614	0.0104066760603753	1.96415614812441	0.0534024978305647	0.0831367114613372	-1.74361958276365	0.0883719163923287	0.786350468226953
Geobacillus	2.45658395687162	0.015106630067093	0.0536801833367002	0.947320930316463	0.345182400250634	0.43619934013435	-2.30838641783937	0.0236985511129003	0.709915368078192	0.616108870200367	0.540141556545245	0.983253893618217	0.186643725220622	0.852635302859717	0.9771838337905	-1.31858465844138	0.196667827294359	0.999702432312913	3.04907360721117	0.0031034417515424	0.0101196541819902	1.58188586943744	0.1180653908383	0.155089056053785	-1.91022591312753	0.0627880316990617	0.786350468226953
Geobacter	2.08374308583423	0.0388529769985347	0.0948788557247624	1.3188244033432	0.189552358136165	0.281293209445388	-1.41577563684005	0.160926386989028	0.756449580313764	-0.0757020023112514	0.939904680446884	0.99251880913546	-0.116971685279944	0.90738094631873	0.98563306223832	-0.602546762475688	0.551056673358264	0.999702432312913	3.37038410969383	0.001151688513634	0.00611903513793401	2.66309494346221	0.00958044423116934	0.0270571000340876	-1.27975928304057	0.207491697116544	0.786350468226953
Geodermatophilus	1.25919921095085	0.209689854438488	0.318169915995625	0.546115821096399	0.585860250341127	0.653467123447728	-1.24529581146174	0.216848897581119	0.756449580313764	-0.348847009062012	0.72809840059333	0.983411709975288	-0.560970957284408	0.576954059651398	0.929300656992424	-0.709151040135844	0.483365858486382	0.999702432312913	2.2752503961922	0.0255010912791631	0.0439464402044024	1.64765100226182	0.10384657088112	0.139948822832498	-1.03741972072213	0.305339127690406	0.786350468226953
Geoglobus	0.617910595902041	0.537393160591069	0.635270761476819	1.94986286097631	0.0530666645855974	0.117809080695471	2.16875761329637	0.0332292584993497	0.756449580313764	-0.763136277946625	0.447732115977503	0.982765380621359	1.00477239414018	0.319504538680767	0.929300656992424	2.46929875372872	0.0190610355637419	0.999702432312913	1.02259878832738	0.310585463433251	0.3456994307327	1.45798079639633	0.149633909722998	0.187416960567561	1.0168909470318	0.314893016326416	0.786350468226953
Georgenia	2.90398889464543	0.00426122188692258	0.0266589274257522	2.28905233707371	0.0237771197376811	0.0754548732500261	-1.21495558833874	0.228144187940662	0.756449580313764	1.0569851260329	0.29460705110035	0.982765380621359	0.958153579413681	0.34320891539226	0.929300656992424	-0.26178335191407	0.795166219601162	0.999702432312913	3.09712274997788	0.00268682984104142	0.0094067326855829	2.56976759026066	0.0122639579056316	0.0309483490092039	-1.2107715224358	0.232595979274448	0.786350468226953
