Taxa	t.HC.T1.All	p.vals.HC.T1.All	adj.p.vals.HC.T1.All	t.HC.T2.All	p.vals.HC.T2.All	adj.p.vals.HC.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.HC.T1.UNC	p.vals.HC.T1.UNC	adj.p.vals.HC.T1.UNC	t.HC.T2.UNC	p.vals.HC.T2.UNC	adj.p.vals.HC.T2.UNC	t.T1.T2.UNC	p.vals.T1.T2.UNC	adj.p.vals.T1.T2.UNC	t.HC.T1.Denver	p.vals.HC.T1.Denver	adj.p.vals.HC.T1.Denver	t.HC.T2.Denver	p.vals.HC.T2.Denver	adj.p.vals.HC.T2.Denver	t.T1.T2.Denver	p.vals.T1.T2.Denver	adj.p.vals.T1.T2.Denver
Corynebacterium kutscheri	1.15527844334452	0.249518314434495	0.372446592021474	2.75024179202475	0.00668674252473916	0.0307402108788257	1.45019083074895	0.15111989304462	0.695015529437548	-0.416654905717913	0.678178023542996	0.944101911326055	0.651078968385239	0.517737183142908	0.884783078044541	0.885595756525748	0.382442139335245	0.999967035301411	1.76829404246465	0.0811482048271573	0.117935832101566	3.05431749881707	0.00321456486780765	0.0156822319894786	1.13889574868062	0.261051911402823	0.850407113694031
Corynebacterium lactis	3.41836712132695	0.000781715316406075	0.00854467375008212	2.49033174726215	0.0138585290241747	0.0487504457698499	-1.33834250222028	0.184775072752068	0.702463343018287	1.49529803080957	0.139850078536301	0.765819306883886	0.363175552046045	0.717883831259759	0.937770434872411	-1.95368262982564	0.0595275600774254	0.999967035301411	2.68850126771859	0.00919780887838038	0.0242741793665898	2.47636133592339	0.0159808513632642	0.03935382006071	-0.396694269290816	0.693554915254689	0.929418582562333
Corynebacterium marinum	0.814914997873298	0.416393675115425	0.537712836034278	0.859960612855071	0.391353039949632	0.493676848851578	-0.383878778566766	0.702140174845605	0.915004710853897	-0.282752831574348	0.77831250833931	0.959596477673	0.0796299298862615	0.936863785684421	0.987687322138875	-0.0958586621553209	0.9242306354939	0.999967035301411	1.36265926824495	0.17672202233523	0.222021021731285	1.28819170348579	0.201815076595406	0.250097702501063	-0.386983971684518	0.700676743283247	0.9307356289664
Corynebacterium maris	3.31692541171561	0.00110490110993019	0.0105516157542818	2.73426317771076	0.00703965946256463	0.0316045454708677	-0.45315208922254	0.651730367215947	0.897501828787472	1.05510444848726	0.294343499226033	0.854248310926141	0.943504564648419	0.34933106452173	0.835525809425789	-0.477981815569683	0.635912344946278	0.999967035301411	3.86891719389213	0.000223341027210771	0.00356703858976283	3.3034586845227	0.00148985933323851	0.0104976870496506	-0.235525285184655	0.814919201310501	0.964376332338147
Corynebacterium matruchotii	2.00416088507195	0.0466591946733883	0.114463559317106	2.33837493380891	0.0206856971896616	0.062348755412223	-0.218188714369097	0.827866878615733	0.955217793511781	0.327168890310434	0.744646136425112	0.958238453532265	1.07899164043574	0.284880251437443	0.80865372341063	0.343431429819754	0.733520140250953	0.999967035301411	2.85968688032032	0.00539496312186313	0.0173124740365562	2.67648555021909	0.00920660980867043	0.0284839874494703	-0.482720462154942	0.631742768549839	0.91392396775948
Corynebacterium minutissimum	5.01498516413592	1.34239722951456e-06	0.000135655341848035	4.65448561196709	7.37785857166739e-06	0.000533556995020088	-0.921754217058734	0.359573674338163	0.78401198801169	2.70925423615205	0.00847586924310148	0.370936072859512	1.72212896560677	0.0906327499296836	0.646645473824367	-1.7599083175719	0.0879809677184363	0.999967035301411	4.41970835462654	3.0076235187757e-05	0.00208566830606707	4.83574302365178	7.30008411770335e-06	0.00158466191661228	-0.0399840269590518	0.968290933534418	0.993396095103937
Corynebacterium mustelae	4.40571701269132	1.91463866624196e-05	0.000824927264106421	3.35351757201662	0.00104189155541486	0.0096258666493747	-1.18412822636887	0.240052514838068	0.733880474430762	1.4066705939019	0.164746546350648	0.794843765743538	1.02862516208119	0.308793201084389	0.816980795353786	-0.731869114026584	0.469574836401205	0.999967035301411	5.25687826925059	1.15423277673045e-06	0.000675804306891388	4.24725037400677	6.41300327370275e-05	0.00274046157493363	-0.930428495904965	0.357343670126536	0.853998895817929
Corynebacterium mycetoides	1.19845878464844	0.232445481173212	0.354245128697755	0.718597562614449	0.473429824752106	0.56992050378432	-1.65276307497916	0.102504665483621	0.66788956040809	-0.293718466975467	0.769853151126591	0.959596477673	-0.820743402124724	0.41509767940863	0.864492081927556	-1.28155181438244	0.209208572670161	0.999967035301411	2.73916280389044	0.00755836706330716	0.0214443104328031	2.9730371216191	0.00404398304966094	0.0179023659139231	-1.15846567915594	0.253067673795289	0.850407113694031
Corynebacterium nuruki	2.49688494719415	0.01357690665046	0.0502399781379871	1.56453946051954	0.119915914540517	0.203882732644905	-1.33777524258129	0.184959135195498	0.702463343018287	-0.048187480569151	0.96170512377608	0.993403727056853	0.867940808119801	0.388980520381447	0.859766065661324	0.894510361523325	0.377727903752294	0.999967035301411	3.04417934607763	0.00314796228580389	0.0125692344716221	1.60689911349459	0.112523276910489	0.157976032768546	-2.01053412731105	0.0506728440268764	0.848439590404996
Corynebacterium pelargi	2.73472865426659	0.00687686734303971	0.0327274143805612	2.12121472326507	0.0354294029888081	0.0887411544893175	-1.27654659353337	0.205649314675025	0.716613724742188	0.996835332104043	0.32229913478499	0.858700700321244	0.466039896672701	0.64264110147876	0.9170216282462	-1.09634179592867	0.281111668488666	0.999967035301411	3.11379428622848	0.00260581917305724	0.0112709283765386	2.74630561009567	0.00768130491605536	0.0254575962984206	-0.784533950700385	0.437027773038813	0.866524835304308
