Species	t.non-ED.T1.All	p.vals.non-ED.T1.All	adj.p.vals.non-ED.T1.All	t.non-ED.T2.All	p.vals.non-ED.T2.All	adj.p.vals.non-ED.T2.All	t.T1.T2.All	p.vals.T1.T2.All	adj.p.vals.T1.T2.All	t.non-ED.T1.CEED	p.vals.non-ED.T1.CEED	adj.p.vals.non-ED.T1.CEED	t.non-ED.T2.CEED	p.vals.non-ED.T2.CEED	adj.p.vals.non-ED.T2.CEED	t.T1.T2.CEED	p.vals.T1.T2.CEED	adj.p.vals.T1.T2.CEED	t.non-ED.T1.ACUTE	p.vals.non-ED.T1.ACUTE	adj.p.vals.non-ED.T1.ACUTE	t.non-ED.T2.ACUTE	p.vals.non-ED.T2.ACUTE	adj.p.vals.non-ED.T2.ACUTE	t.T1.T2.ACUTE	p.vals.T1.T2.ACUTE	adj.p.vals.T1.T2.ACUTE
Vibrio vulnificus	0.882864723	0.378520647	0.501864923	1.251917117	0.212605414	0.312030866	-0.057937189	0.953950723	0.986118997	-0.640352455	0.523774922	0.91792443	-0.972433429	0.333863754	0.828872473	-1.024492023	0.313285643	0.999967035	2.277323404	0.025374809	0.048876955	2.78580476	0.006908816	0.023984889	0.51753184	0.607437308	0.908338346
Victivallales bacterium CCUG 44730	0.678333758	0.498453646	0.613600302	-0.023007937	0.981676252	0.985399423	-1.269400879	0.208171613	0.718884133	-0.900579674	0.370624914	0.876206662	-1.364052053	0.179123356	0.745061619	-1.270506535	0.213064067	0.999967035	2.026025895	0.046026458	0.075667436	2.179705483	0.032683336	0.063052407	-0.584675139	0.561821599	0.900288888
Virgibacillus dokdonensis	0.505557112	0.613804176	0.713326653	0.708994073	0.479406861	0.575263197	0.325615114	0.745610374	0.929379336	-1.259948447	0.211222246	0.818634077	-0.050807186	0.959657506	0.991684934	0.925638639	0.361562338	0.999967035	1.126720867	0.263607145	0.31179581	0.837229127	0.405579115	0.452107646	-0.218816789	0.82782806	0.968257334
Virgibacillus halodenitrificans	-0.753799277	0.451916769	0.570205085	0.130725224	0.896152207	0.918794086	1.026572422	0.307878158	0.767194283	-1.556288107	0.123238208	0.746063594	-0.073475551	0.941630599	0.988332498	1.342715685	0.188811663	0.999967035	0.43870853	0.662307155	0.697046614	0.56627142	0.573163057	0.610509825	0.244068166	0.808338835	0.960998501
Virgibacillus necropolis	2.488507121	0.013733193	0.050549064	2.599306674	0.010240568	0.04008245	0.472030827	0.638257296	0.892775014	1.404127943	0.164462145	0.794843766	0.795561226	0.429333523	0.866994591	-0.653283046	0.518240578	0.999967035	1.96661883	0.053132574	0.084539155	2.516139337	0.014257588	0.036451252	1.108932937	0.273622938	0.850407114
Virgibacillus phasianinus	2.257853674	0.025105862	0.076125685	2.172245218	0.031212733	0.081141428	-0.697130729	0.487848031	0.82820783	-0.152866838	0.878809208	0.981595977	0.442185338	0.659385503	0.924918005	0.362234815	0.719557922	0.999967035	3.130792969	0.002467511	0.011018247	2.699263963	0.00871036	0.027476143	-1.05197354	0.298687694	0.850407114
Virgibacillus sp. 6R	2.351131082	0.019790191	0.064816664	2.13242477	0.034565676	0.087246153	0.215223343	0.830169709	0.956080137	0.274704233	0.784167607	0.962544956	0.801986064	0.425352072	0.865324996	0.437393665	0.664763763	0.999967035	2.865949647	0.00538473	0.017299613	2.356959792	0.021189249	0.046586174	-0.047064937	0.962679387	0.991329569
Virgibacillus sp. Bac330	1.921373297	0.056196934	0.129387969	1.729443527	0.085833591	0.160898179	0.418667079	0.676640266	0.906411871	0.092715535	0.926350619	0.98683761	0.510066261	0.611780228	0.904347494	0.52402379	0.60387295	0.999967035	2.854527757	0.005649541	0.017912235	2.217174656	0.029781593	0.059116462	0.128897301	0.898039932	0.980032583
Virgibacillus sp. Bac332	1.216841142	0.225182036	0.346981357	1.394758163	0.165095864	0.258535659	0.354206414	0.724165062	0.924543713	0.087723533	0.93027403	0.98683761	2.082995528	0.041497792	0.545259409	2.135181257	0.040500386	0.999967035	1.746148064	0.085339298	0.122372503	0.634370439	0.527935397	0.568325574	-1.137085087	0.261799651	0.850407114
Virgibacillus sp. MSP4-1	0.907805091	0.365186548	0.49088702	0.840369491	0.402156096	0.503193062	-0.382515251	0.703146878	0.915163581	0.476539203	0.634990093	0.939291646	1.014880626	0.31379135	0.819185916	0.231563158	0.818351704	0.999967035	1.311734907	0.193892236	0.239691514	0.912615992	0.364490342	0.412846408	-0.524232695	0.602808724	0.908109195
Virgibacillus sp. SK37	1.379296015	0.169539426	0.281451652	1.233198548	0.21947714	0.320003658	-0.06615747	0.947426182	0.984584983	0.517736692	0.606368011	0.93732681	0.008574713	0.993191392	0.998258024	-0.597256629	0.554539038	0.999967035	0.966190912	0.337446628	0.385276984	1.197329538	0.235495257	0.284292493	0.39226847	0.696797504	0.930319087
Vitreoscilla filiformis	3.347444956	0.001002587	0.009932939	2.727341117	0.007096909	0.031784546	-0.972900996	0.333688911	0.770329599	0.800958267	0.425647354	0.889392368	1.16479606	0.248988216	0.792144535	0.067939209	0.946256771	0.999967035	3.845681286	0.000239913	0.00368352	3.041364399	0.003400777	0.016059065	-1.201394019	0.236173929	0.850407114
Vitreoscilla sp. C1	-0.340340919	0.733982407	0.807496876	0.677568902	0.499071485	0.59093296	0.827945619	0.410293679	0.795174775	-2.580246562	0.011684153	0.437983025	-0.206668313	0.837069674	0.968172102	1.535695452	0.134442619	0.999967035	1.887953085	0.063892772	0.097372094	1.743887337	0.086034951	0.128647366	-0.190565733	0.849762709	0.971220243
Vogesella sp. LIG4	2.877044863	0.004509787	0.025242093	2.22000873	0.028136269	0.075854141	-0.57564125	0.566558284	0.86171594	1.235779276	0.220283579	0.825083742	1.272727434	0.208559662	0.773298599	-0.005180078	0.995899074	0.999967035	2.904017198	0.004816767	0.01606552	2.125462317	0.03700228	0.068965556	-0.665910481	0.509025125	0.878076239
Vulcanisaeta moutnovskia	-0.410893023	0.681653112	0.768640292	-0.094002219	0.925249775	0.941626199	0.5511405	0.583154057	0.866124438	0.354187003	0.724340517	0.958209274	0.097320491	0.922818509	0.982518597	0.181016776	0.857496056	0.999967035	-0.969498947	0.335402145	0.383134691	-0.358608679	0.720955848	0.749125557	0.525994565	0.601594454	0.908109195
Vulgatibacter incomptus	3.081030509	0.002457225	0.017198163	2.632766949	0.009486023	0.038400083	-1.371566441	0.17423425	0.699541347	0.917700864	0.362655915	0.875514431	0.307027317	0.76017169	0.94942631	-1.07097901	0.292190363	0.999967035	3.454553993	0.000875589	0.006437199	3.512312658	0.000772597	0.007763414	-0.925346068	0.359950246	0.853998896
Waddlia chondrophila	3.552578973	0.000490488	0.006493756	1.474542452	0.142560097	0.231545593	-1.584096795	0.117324325	0.672129934	1.564069536	0.122545377	0.744815101	0.494899484	0.622700666	0.907283963	-0.777247611	0.442721024	0.999967035	3.518026179	0.000741583	0.00604678	1.820952982	0.072783021	0.113631469	-1.373858599	0.176605576	0.84843959
Weeksella virosa	0.157350038	0.875140397	0.913947826	0.361970478	0.717900258	0.776577655	0.229611996	0.819010124	0.953214314	-0.555127853	0.580374981	0.928735215	0.495133328	0.622561124	0.907283963	0.788006066	0.436491815	0.999967035	0.867065253	0.388950814	0.435756627	0.403276602	0.687974577	0.717942677	-0.347115331	0.730197862	0.937933838
Weissella ceti	1.811879527	0.071647342	0.153751322	2.700684491	0.007762515	0.033653712	1.043588468	0.299984001	0.763071431	0.865882958	0.389362831	0.878196122	1.66606881	0.101638552	0.65618876	1.017412078	0.316588452	0.999967035	1.708097053	0.091802202	0.129600366	2.202204438	0.030855466	0.060598827	0.526752437	0.601072485	0.908109195
