p-variable	slope	adjusted.p-variable
Aureitalea	0.434853491883381	0.022473421929748	0.692378329753662
Auricoccus	0.826613619145944	-0.00532025775519198	0.923972956720769
Auritidibacter	0.862075921194498	-0.00566410032407548	0.941407715568946
Austwickia	0.710749913811628	-0.0109812989918612	0.866614628947987
Avibacterium	0.926774139024096	0.00248301569670332	0.970544957932665
Azoarcus	0.0499172624253095	0.0502886250248356	0.450956830992582
Azorhizobium	0.0369456571516843	0.0684793025718857	0.450956830992582
Azospira	0.151963445270122	0.0470226734097615	0.492779965441351
Azospirillum	0.0715761926265834	0.0495410439113037	0.466795234142538
Azotobacter	0.267223818923165	0.0291605217388532	0.56487825551723
Bacillus	0.802722370926631	0.00451642748040561	0.912801558729786
Bacterioplanes	0.13332449578394	0.0522915535383087	0.490042446189621
Bacteriovorax	0.545343044826663	0.0166003086140294	0.767263522459172
Bacteroides	0.196807550592993	0.0689293514059427	0.520914986385772
Baekduia	0.0436829846977877	0.0746764082304855	0.450956830992582
Barnesiella	0.252277124295903	0.0530650154334645	0.55043823556823
Bartonella	0.728532113768356	0.00682181214384133	0.876282032492618
Basfia	0.663637014158389	0.0107978586634533	0.839899813200457
Basilea	0.841923245436477	0.00698993692617261	0.929051105359636
Bdellovibrio	0.241901837860668	0.0254036387986117	0.544622906075648
Beggiatoa	0.604213562294797	0.0152356429451178	0.807722792681871
Beijerinckia	0.0899377628916531	0.054540229899783	0.466795234142538
Belliella	0.418259495369675	0.0193347226111121	0.68494777692285
Bergeyella	0.193487870025475	0.0458391150966667	0.517315639634027
Bermanella	0.611785871981116	0.016775296012682	0.811323688281177
Bernardetia	0.859598633844622	-0.005571352697192	0.94108790525583
Beutenbergia	0.424150213403856	0.0226585324726762	0.688182225862582
Bibersteinia	0.118363375299303	0.0472661753718847	0.478849425044096
Bifidobacterium	0.217018763275349	-0.0785055223100116	0.536258845953796
Blastochloris	0.0221551945490826	0.0730624668521151	0.438891405126555
Blastococcus	0.25711476663316	0.042391001968934	0.555301112871356
Blastomonas	0.00825143793688014	0.0948807332160921	0.438891405126555
Blattabacterium	0.728985848295103	0.00837706852225285	0.876282032492618
Blautia	0.969797784210182	0.00107507646899021	0.984599337693244
Bombella	0.660198027190899	0.0160855804722966	0.839174456487741
Bordetella	0.113417327010371	0.0409754700588653	0.477501303337335
Borrelia	0.533212263110578	0.0166425778698689	0.761797245320353
Borreliella	0.550451186872771	0.0161547930713073	0.769890936727854
Bosea	0.0767096801773509	0.0484081893542552	0.466795234142538
Boseongicola	0.120936114563151	0.0545764344102606	0.478849425044096
Botrytis	0.228883717386616	0.0232632504117759	0.539803874665562
Brachybacterium	0.246439368114288	0.0339973739228782	0.546902194031999
Brachyspira	0.833788985022608	-0.00525221181450723	0.924394054728398
Bradymonas	0.315950832884593	0.0345898241704209	0.60547148044252
Bradyrhizobium	0.108470904596996	0.0397348507609167	0.475753643883477
Bremerella	0.0738584324692095	0.0502170014932265	0.466795234142538
Brenneria	0.38137907698441	0.015190730253584	0.65566283373586
Breoghania	0.0730639941407345	0.0628122878531814	0.466795234142538
Brevefilum	0.366637816900914	0.031189176402312	0.647444271481613
Brevibacillus	0.6315063393959	0.0090962262386524	0.823036867096694
